Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Collision
A,0,C,88.13792319056788,4,94.59378357315484,0,D,A,0,A,53.04134352753479,4,37.799899540107305,0,D,Да
B,1,D,28.306880919923127,3,14.173780632570153,1,C,D,0,D,44.91385937579968,4,83.07723152999925,1,C,Нет
D,0,A,58.719676638124064,5,8.31650411103685,1,D,A,1,D,99.42787007525024,4,99.0205122291371,1,A,Нет
C,0,D,94.24969048192635,4,37.019271434665924,1,B,A,0,D,73.20315154573309,3,25.201145500112045,1,D,Нет
C,0,A,42.97217116190617,1,56.815751153800406,0,A,A,1,D,10.70842145686054,3,66.82997147399095,1,B,Нет
D,1,D,53.61301265459889,1,17.31852749691145,1,A,B,0,C,25.680649771922738,1,38.88067490871205,0,D,Нет
A,1,D,95.82040031040957,3,31.81154200168286,0,C,B,1,B,98.85706375766088,5,75.97059199667797,0,C,Нет
A,1,A,86.69236966678076,3,83.78447373757952,0,C,B,0,A,60.757286401282954,4,42.3480252497584,1,C,Нет
D,1,D,42.69299645127348,3,34.4959874416079,0,D,C,1,A,80.85203672060864,5,79.34319934145839,1,A,Нет
C,0,A,30.661390554534883,5,3.01703365547471,0,D,C,1,C,49.45629938327445,5,44.82711367905633,1,B,Нет
D,0,B,64.60643933517997,5,24.8011985000816,1,B,A,1,A,7.981756647701865,3,35.76552017452731,0,B,Нет
B,0,B,20.1816575590373,5,16.470551666418043,1,C,C,1,B,32.67168414920142,4,32.98423029007409,0,C,Нет
C,0,C,67.94055166861652,3,84.01576798808357,1,D,D,1,A,30.60621378033582,2,16.1197737188705,1,B,Нет
D,0,B,56.72773751485419,3,44.60805176740621,1,B,C,1,B,68.79603368703987,2,42.05448835800816,0,A,Нет
B,1,D,90.82571249596029,5,42.41935197638498,0,D,C,1,C,89.04612238991838,5,2.768197811561779,0,C,Нет
D,1,B,59.4562957468695,3,26.463993588150924,0,A,B,0,C,39.34050206280509,4,63.83904970202596,0,C,Нет
B,1,B,6.759302911332544,4,92.59769726991219,0,D,D,1,B,27.939239993772624,2,99.36624155310822,0,A,Нет
B,1,B,72.6274540760956,4,16.625826394955357,1,D,A,0,D,13.384462300939115,3,72.32168840996826,0,B,Нет
A,0,B,36.71230698279005,1,12.415013241875638,1,A,D,0,C,88.9272276644698,4,0.35728332654625383,1,D,Нет
C,1,A,18.611794997081756,1,8.586222917389886,0,C,C,1,A,40.80538933236453,2,97.08695899109567,1,A,Нет
A,1,B,85.63559615344177,4,17.287895220486547,0,C,D,1,C,32.20275705989917,2,52.58114741802491,0,A,Нет
C,0,D,55.457256422603194,1,80.23163693005148,1,A,C,1,B,2.1191209780010434,2,29.261707972693696,0,D,Нет
C,1,D,34.34850598644863,4,78.48693316667227,0,B,D,1,D,21.03428655652416,3,55.42171780710502,1,D,Нет
C,1,B,93.99544248327099,2,57.38077834718214,1,B,D,0,B,54.47352619548249,5,45.06044635386364,1,C,Нет
B,1,A,24.658044940185388,1,14.713275015641658,0,C,B,1,C,87.96945230364082,2,2.426559015194152,1,D,Нет
C,0,D,66.35340130698431,3,66.793564931229,0,A,C,0,A,14.92839226175009,3,66.81509050952108,1,B,Нет
