Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj1_Feat13,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Obj2_Feat13,Collision
9.753267878247051,34.78961450506519,1,C,83.92210878747854,3,0,0,2,B,0,66.8182753543748,0,78.012138721894,95.88591999792267,5,B,71.9113553176265,2,0,0,3,D,0,59.45691700543352,1,Нет
13.287738415889505,94.79874015931324,2,D,29.872846825248388,2,1,0,4,C,1,16.532735452307435,1,12.149676515933926,61.768171606033285,1,A,98.32975710273416,3,0,1,5,D,1,57.40186111201271,1,Нет
79.05050185778744,55.04570037175285,4,B,58.75801056756875,3,0,1,1,D,1,93.80374166034426,0,81.9576195761573,97.85493628833079,2,A,26.145652513633554,5,1,1,1,A,0,71.85432391424436,0,Нет
64.25077166607034,55.23061728352461,3,B,67.48636041268995,2,0,1,4,D,1,35.47095352633553,0,20.133107614168722,50.71697896213697,1,B,19.959037963814108,4,0,0,3,D,1,51.60276530770012,0,Нет
65.47324707018065,92.10066836390702,3,D,4.522515342482725,2,1,1,1,C,0,34.239581103036556,1,27.721233027246527,16.654952924162604,5,B,4.1826320688792995,4,1,0,3,A,1,30.692968004634857,0,Нет
52.816834292316614,68.59692833175481,5,D,90.4192309851091,3,1,0,3,D,1,77.1990049891195,0,62.84948889077327,84.14006280819628,1,B,70.20996173896913,1,1,1,4,D,0,76.97367112925792,0,Нет
60.183318231693896,57.33212942024579,4,D,31.73394154089426,5,1,1,4,D,0,79.04791105477238,0,37.5878137323928,77.35361619550628,5,B,99.83251961872128,1,1,0,1,B,1,43.159712289371335,0,Нет
17.307773159436323,15.981006860437741,4,B,26.359551641710745,1,1,1,1,C,1,73.36266493667492,1,65.25664542124875,53.49189693736795,1,A,19.984385811839445,5,1,0,2,A,0,44.01965799497227,0,Нет
47.05052634530834,50.039036613898716,1,C,6.0626588949082905,4,1,1,1,D,1,88.07986352364368,0,19.518989469083124,33.15690302547674,5,A,93.15177399951392,1,1,0,3,C,0,91.74003570462278,1,Нет
87.02856464157057,67.57429278785757,2,A,6.112280866190667,4,0,0,5,B,0,94.69467270995582,0,1.5768104622320922,66.10118881281979,1,A,71.7091657401161,3,0,1,5,C,0,25.405710429591544,0,Нет
3.3941496377400515,22.58975649796836,3,B,54.13887618905161,1,0,1,1,D,0,47.29594009572676,1,14.13312752341006,92.9651825408204,3,C,74.1816871587007,2,1,0,2,B,1,41.871607966707046,0,Нет
51.83094242273509,85.25598842720235,5,A,92.23732627459117,2,0,1,4,C,1,38.86929908243268,1,22.54010888468505,56.25231129935129,2,D,45.90221436187354,5,0,1,3,C,1,6.018769614284302,1,Нет
34.86421697448121,15.976046812298407,3,C,76.58109931044275,5,1,0,2,B,1,78.88466249625522,0,20.920688857359004,52.578413279764376,3,D,27.05138750139392,4,0,0,1,A,0,1.0491652515457028,0,Нет
