Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj1_Feat13,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Obj2_Feat13,Collision
0,66.5434449899289,4,C,1,1,87.1246261646983,0,0,0,C,0,1,0,42.32886315485902,1,D,4,0,31.280945578677176,1,1,1,C,0,5,Нет
0,7.902718519687257,5,B,4,1,37.392850079693716,0,1,1,C,1,4,1,15.075261104595949,3,A,4,1,69.02990049138391,0,1,0,B,1,3,Нет
0,57.10488028570849,2,A,4,1,69.17647809395933,1,0,1,D,0,1,0,14.188142396510816,3,D,1,0,39.397708509706256,0,0,1,D,1,5,Нет
1,87.52094600724138,5,C,2,1,49.20715287402038,0,1,1,B,0,3,1,72.2011642067667,2,B,1,1,49.87230104623478,0,1,0,B,0,2,Да
1,43.19989445210363,2,A,2,0,42.05520440791032,1,1,1,C,0,4,0,69.47789682095195,5,B,4,1,58.793042308684996,0,0,0,B,1,2,Нет
0,53.24998123723561,2,C,3,1,58.4150904644267,0,1,1,A,1,2,1,32.56729465123382,5,A,1,1,53.90224190857018,0,0,0,D,0,2,Нет
1,45.76289954959023,4,B,4,0,17.54099611305908,1,0,1,A,0,1,1,64.3102565161735,5,B,3,0,34.932744591643164,1,0,1,A,1,3,Да
0,87.68174235200848,2,B,3,0,94.44691781342914,1,1,1,A,1,3,0,70.50702310501357,5,C,1,1,19.418649394123687,1,0,0,C,0,4,Нет
0,50.94290265652099,4,A,4,0,1.4221912565612005,1,0,0,D,0,5,1,37.52649747450584,2,B,5,0,84.27690497559816,0,1,1,A,1,1,Нет
0,42.34265143580682,3,D,5,1,76.31377377874914,1,0,0,A,1,4,1,94.39771461402957,4,C,5,0,39.177948958994115,0,1,0,D,0,5,Нет
0,86.39145119268684,2,B,2,1,83.95011545744659,1,1,1,A,1,1,1,82.43698306201604,3,B,3,0,25.33473054263109,0,0,0,A,1,2,Нет
0,8.407223944297948,5,A,3,0,98.55441159295837,0,0,1,C,1,1,0,1.7270866732086776,3,B,4,0,21.40216459869,0,1,0,C,0,2,Нет
