Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Collision
42.223240568451416,D,D,0,1,1,B,1,1,71.3652579189091,C,D,1,0,0,A,1,3,Нет
64.1035336699458,B,C,1,0,1,D,0,1,34.22936336531054,D,B,0,1,1,C,0,5,Нет
78.77927851565447,A,D,1,1,1,A,0,3,51.20288226212377,C,B,1,0,0,D,1,3,Нет
68.16488712135653,C,C,0,1,0,C,0,2,36.437471637107855,B,D,0,0,1,B,0,1,Нет
39.841756360020895,A,B,0,1,1,B,1,3,92.97360603930898,C,A,0,1,1,C,1,4,Да
80.9949775628488,C,D,0,1,1,D,1,5,69.23995592937456,C,A,0,1,0,C,0,5,Да
91.41410876660879,C,C,0,1,0,D,1,3,14.802204189497548,A,C,0,1,0,D,0,5,Да
57.34772438144837,D,C,0,1,1,D,0,5,95.91398143883362,B,D,1,1,1,C,0,4,Нет
27.889040327503267,B,D,0,1,0,D,0,5,60.262650002580855,A,B,1,1,1,A,1,5,Нет
50.898995171848824,D,A,0,0,1,D,0,5,61.970426887743116,C,D,1,1,0,A,1,4,Нет
43.702178084641986,B,B,0,1,1,B,0,1,23.18719895823439,D,A,1,1,1,A,0,4,Нет
64.59224869211633,C,B,1,1,1,C,1,2,61.581494583683494,C,A,1,0,0,A,1,2,Да
37.515896465564026,B,B,0,0,0,C,0,5,41.02998878515397,C,D,1,0,1,A,1,4,Нет
90.33016369166077,B,C,1,1,1,A,0,4,42.31426811092038,D,B,0,1,1,D,0,4,Да
33.25847449984669,C,C,1,1,0,D,0,4,85.60917940258224,B,D,1,1,1,D,0,1,Да
14.883046300506376,D,D,0,1,0,C,0,4,5.206165182884193,C,C,0,0,0,C,0,5,Да
88.6140307000048,D,B,0,0,1,D,1,1,34.41422815891775,D,B,1,0,1,B,1,2,Да
57.06302401798264,C,A,0,0,1,B,0,3,86.09081208843217,B,A,0,0,0,B,0,4,Да
64.99414621817839,C,C,0,0,0,A,1,2,27.958613686275726,B,D,0,1,1,C,0,5,Нет
7.9611192604291166,B,C,1,0,1,C,0,2,26.573182822862705,C,A,0,1,0,A,0,4,Нет
32.65983254065744,B,C,0,0,1,B,0,1,13.644521608659343,C,C,1,1,1,B,0,2,Да
27.025876973335315,C,A,1,1,1,D,0,3,67.04267265914288,D,B,1,1,0,A,1,1,Нет
19.25500344141523,B,A,1,0,1,C,1,1,25.748439909623254,D,D,0,0,1,A,1,2,Нет
56.55055397583766,C,C,0,1,0,A,0,2,71.19151375423401,A,A,0,1,1,C,0,1,Нет
34.848097748272075,C,B,1,1,0,D,0,3,99.36109303614701,B,A,1,1,0,A,1,3,Да
26.746962517178297,B,B,0,1,1,C,0,5,84.19157218900733,C,C,0,0,0,A,0,2,Нет
50.77151404124748,A,A,1,0,0,A,1,3,34.95901821390321,C,C,0,0,0,D,0,2,Нет
7.8869590847332365,A,B,0,0,0,A,1,3,85.81295858542649,D,A,0,1,0,C,0,4,Нет
55.85237918726476,B,D,0,0,0,A,1,1,48.94869505220035,B,B,0,1,0,D,1,5,Да
63.76020768754105,A,C,1,1,1,D,0,3,29.001954095585482,D,C,1,0,0,D,0,2,Да
72.04273539375842,D,C,0,0,1,C,0,5,88.27163012703826,D,B,1,0,0,A,0,3,Нет
33.45041727061776,D,A,1,0,1,C,0,4,45.203146008049025,D,C,1,0,1,D,1,3,Да
95.47992176126081,A,A,1,0,1,B,0,5,78.29788867114034,C,D,0,1,1,A,0,5,Нет
