Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Collision
B,C,1,49.799412219275794,39.36719818440696,B,71.55463952878969,5,C,A,B,1,47.55962414431424,97.94579190615315,D,90.43702452319616,2,A,Нет
C,A,1,9.794948812092596,71.56868336805967,A,79.51674458190172,4,C,B,D,1,88.90044469229636,57.03099836661306,B,89.09552408635342,2,A,Нет
D,B,0,40.74746681645662,49.80477895132874,D,88.17674861603439,1,D,B,D,1,55.829077386249296,75.53912538140925,B,2.8838384215928214,5,D,Нет
D,A,0,79.8790267526317,87.52256279974789,A,83.4573503686842,5,B,C,C,1,12.636732744154989,5.658625962438702,A,40.626888999806276,2,B,Нет
A,C,0,44.625642454542934,15.631376151571374,D,81.21602088819749,3,C,C,A,0,0.5484540975734142,76.86984582370326,A,6.400852494820308,5,C,Нет
C,C,0,48.1481769674003,65.31024587005571,A,90.47089926839128,1,D,C,B,0,68.6397952979365,25.67066192399965,A,38.13145169176209,1,D,Да
D,D,0,59.195450822528905,29.626034388558388,D,73.53748421104952,1,A,D,B,0,56.13451853984823,82.53889264910009,A,16.928489512378462,1,B,Нет
B,A,0,94.11378571997369,21.638524410184047,B,24.711062235676305,5,B,A,B,0,91.38339568326256,55.98268929793848,B,28.44343537987193,1,D,Нет
C,A,0,94.34544836153063,91.18760319699533,C,77.81552263456666,5,D,A,C,1,92.82593778003132,96.64876191575625,D,96.62168739307688,5,A,Нет
B,A,0,89.87652890424668,89.89639393706274,D,59.28494396886739,2,D,D,D,0,82.90513469283623,61.31981357483877,A,30.91138581738352,5,D,Нет
C,C,1,63.11534436130728,16.312709186160703,C,90.88522810428053,4,D,B,A,1,19.51011585254485,48.02820925117784,A,19.11259424301902,5,C,Нет
A,C,0,78.90737192351249,14.42009198417753,D,90.42884962113709,3,B,A,C,1,71.67069634121084,67.93897340446182,B,79.83419456202617,4,C,Нет
A,C,0,14.611835746345193,49.526133715729095,B,20.673591445263018,1,A,A,D,0,61.04136908813995,85.87327798393287,A,22.596075758144273,2,D,Нет
C,A,1,38.21522434203891,16.216563467092094,A,42.92586463267368,4,A,B,B,0,94.13649102164375,45.2236244080775,C,33.29936283146415,4,C,Нет
D,C,1,97.48032589313797,78.73534916399474,D,60.79166364314354,5,C,C,C,1,19.498726230725072,50.1004386799042,D,74.07433656729499,5,C,Да
D,D,0,99.244675394054,69.54317098148321,C,85.63340940857671,3,A,D,C,1,76.28841312131335,28.502644905724473,C,61.30912941836746,4,A,Нет
D,D,1,54.05580995351941,9.50135887250294,A,62.21212021406461,5,C,D,A,1,15.890638159126546,94.70679937602915,B,50.32418443861919,5,D,Нет
C,A,1,78.85143305189555,52.93307957682669,D,44.57689461032619,2,D,A,D,0,42.6017060623156,13.344761321992738,B,6.532592355354483,3,B,Нет
C,C,0,61.53965466164687,22.88346639402117,C,70.92833014321734,4,C,C,B,0,41.12103275105029,88.46996436130014,D,15.702581288499417,1,A,Нет
D,B,1,19.86834930610065,9.675004053268522,D,95.4538216344379,1,D,B,C,0,94.45051937066926,86.22437106551295,C,34.56107788379532,4,C,Нет
C,C,1,16.89574156267044,90.56360076924018,C,80.15616805838681,3,A,B,A,1,95.94915982765126,15.473825411790976,D,35.54243820537605,5,C,Нет
B,B,1,13.68359952692172,36.79783175099458,A,21.347910274059355,2,A,B,B,0,72.77393322966691,43.01065053904215,B,63.34734616162372,4,B,Нет
B,C,0,61.773661864477624,10.59919233974701,A,3.009624517328935,5,B,D,A,1,73.87433330082644,69.17864192394528,D,83.81105294942502,4,B,Нет
B,C,0,49.46631953509129,21.448022548871304,B,49.28778401429197,4,B,D,A,1,94.51692383511393,59.87352776012098,D,59.821291221788975,1,B,Нет
A,C,0,25.137039372332758,90.87483272723618,D,89.41783603010104,5,A,A,D,0,59.20825286207002,48.264919029984924,A,28.208285703116843,3,B,Нет
D,A,0,12.586623126479568,51.93193528561314,D,30.27684066436428,3,B,D,D,1,84.39502825221446,71.5976893721499,C,39.59973067745904,2,B,Нет
A,D,0,56.91241771989092,91.7523752346351,A,80.14373344870856,1,C,D,C,0,11.797977545608717,98.89927757141793,B,15.754314913554646,4,C,Нет
C,D,0,48.69099498203842,15.671627295604452,C,81.75397836159915,3,A,B,C,1,66.65214665774198,78.31298978051082,B,15.560474201299801,5,D,Нет
B,D,1,11.446540943065575,6.990423045596916,B,68.21670619554536,2,A,A,C,0,90.21458641909904,97.88694062959652,D,35.508176199267474,2,B,Нет
D,B,0,44.56777501182218,51.091443245217924,D,21.63651804633996,1,B,D,D,0,77.26273837574323,83.08403067310729,D,2.929870184986383,2,B,Да
A,D,0,21.319117616455728,9.716495966559858,B,68.27122734967014,3,A,A,C,1,48.4391967182656,66.30267726651708,C,11.32429302464505,1,A,Нет
A,C,1,99.49291852426094,47.232092226485356,A,52.694347242607044,2,D,D,B,0,44.56987420188465,74.08900200595932,B,21.309895107116816,1,D,Нет
