Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Collision
A,1,0,1,B,1,79.81924466193242,2,1,1,3.0915679270759,B,2,1,0,D,2,11.266991808581173,1,1,0,48.481086222740764,Нет
A,2,1,0,B,4,89.21423483953807,3,1,0,38.77938337887555,C,4,0,0,C,1,77.31080250553075,1,1,1,41.1722867453592,Нет
A,2,1,0,D,1,92.29082255881195,2,1,1,86.50926160665945,B,4,0,1,B,4,13.875017536102252,4,0,1,28.09025388992702,Нет
A,4,0,1,D,1,23.991191156891432,3,0,1,94.41830758447858,D,1,0,0,A,5,24.391359866322414,5,0,1,73.5923576206811,Нет
D,3,0,0,C,5,99.44282731989377,4,0,0,29.226466540795982,D,3,1,0,A,2,44.87424238856873,3,0,1,40.573276136474846,Нет
A,2,0,0,B,3,88.33635190422868,4,1,1,31.643970372584473,C,4,1,1,D,4,63.704445091862205,5,1,1,93.58785338387808,Нет
D,1,1,1,D,3,78.42345162273243,4,0,0,39.2665263124552,A,4,1,0,C,3,49.82145290170736,1,1,1,94.04270414664288,Нет
D,3,1,1,C,3,78.57437440201677,3,0,0,82.32600114422479,A,3,1,0,A,4,34.99247962744931,4,1,0,24.912860860914186,Нет
B,2,0,0,A,4,35.47683016476319,2,0,0,69.6146979779141,D,5,1,0,B,2,65.60534546721806,5,1,1,61.595970690121895,Нет
D,1,1,0,B,3,19.569964510317405,2,1,1,97.20893935045612,B,2,0,0,D,5,22.053181532705214,3,1,0,7.101890895114749,Нет
D,3,0,0,C,5,22.144092225442456,4,1,0,81.68407579034128,B,2,1,0,A,2,43.63858895218956,4,1,1,12.718526337901947,Нет
D,5,0,0,A,4,25.077978729736415,5,0,0,46.39730221765911,A,1,1,1,B,3,94.55572074803777,5,0,0,45.55882011495934,Нет
C,5,0,0,D,4,41.937156268732004,5,1,1,49.306636892982915,D,5,0,1,A,4,69.78494322848941,3,0,0,68.38623461565851,Нет
A,3,0,0,C,3,82.65168185872388,3,0,0,89.51876691850177,A,2,1,1,A,5,77.49875197468087,4,1,0,28.90903712133405,Нет
D,1,0,1,D,2,46.26582358186296,5,1,0,40.363489491095415,C,1,0,0,C,1,55.35567142710709,3,1,1,25.178290205952102,Нет
A,1,0,0,D,4,2.788122670605009,3,0,1,3.586775591779756,A,3,0,0,A,1,34.57141039572226,2,1,1,86.69792468830654,Нет
